,No,Tanggal,Keterangan JKB,Sumber Informasi,Waktu Informasi,Alamat Kejadian, RT , RW ,Kelurahan,Kecamatan,Wilayah,Objek Kejadian Awal,Kode Objek Bencana,Kategori Objek Bencana,Objek Kejadian Lainnya,Kode Objek Bencana Lainnya,Kategori Objek Bencana Lainnya,ID Bang,Jenis Bangunan,ID Sebab,Sebab Kejadian,Keterangan Sebab Kejadian,Waktu Respon,Menit Respon,JUMLAH UNIT,JUMLAH SDM,Lama Operasi -  Hari,Lama Operasi - Jam,Lama Operasi -  Menit,Luas Area Kejadian,Petugas Mati,Petugas  Luka,Masyarakat Mati,Masyarakat Luka,Objek BP,Objek BUP,Objek BI,Objek KD,Objek LN,Jumlah KK,Jumlah Jiwa, Taksiran Kerugian ,Kronologis Kejadian,Keterangan
,41,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:35,Jl. Menceng Raya,, 14 ,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:40,00:05,1,5,0,0,40,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,42,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Petugas Pemadam,17:10,Jl. MT. Haryono,,,Cawang,Kramat Jati, Kota Administrasi Jakarta Timur,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,17:15,00:05,1,5,0,0,20,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,43,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:05,Jl. Nirwana,,,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:10,00:05,1,5,0,1,55,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,44,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:30,Jl. Pahlawan Revolusi, 3 , 4 ,Klender,Duren Sawit, Kota Administrasi Jakarta Timur,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:40,00:10,2,10,0,2,0,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,45,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,18:20,Jl. Palmerah, 7 , 7 ,Palmerah,Palmerah, Kota Administrasi Jakarta Barat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,18:30,00:10,2,10,0,4,40,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,46,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:10,Jl. Panjang,,,Kedoya Utara,Kebun Jeruk, Kota Administrasi Jakarta Barat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:15,00:05,2,10,0,2,20,, - , - , 1 , - , - , - , - , 2 , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,"Menimpa pengendara motor, 1 orang meninggal dan 1 unit mobil"
,47,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,15:35,Jl. Pasar Baru,,,Pasar Baru ,Sawah Besar, Kota Administrasi Jakarta Pusat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,15:41,00:06,1,5,0,2,20,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,48,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:55,Jl. Peta Barat, 5 , 3 ,Kalideres,Kalideres, Kota Administrasi Jakarta Barat,Tiang telp. Runtuh,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,15:00,00:05,1,5,0,1,5,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin kencang mengakibatkan tiang telp. Roboh,
,49,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:45,Jl. Peternakan,,,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,Kabel PLN Putus,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:50,00:05,1,5,0,1,25,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,"Angin kencang mengakibatkan tiang listrik roboh, kabel PLN terputus",
,50,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,13:40,Jl. Podomoro,,,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,13:45,00:05,1,5,0,0,30,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,51,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,15:45,Jl. Podomoro (samping POS),,,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,15:50,00:05,1,5,0,0,40,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
