no,tanggal,keterangan_jkb,sumber_informasi,waktu_informasi,alamat_kejadian,rt,rw,kelurahan,kecamatan,wilayah,objek_kejadian_awal,kode_objek_bencana,kategori_objek_bencana,objek_kejadian_lainnya,kode_objek_bencana_lainnya,kategori_objek_bencana_lainnya,id_bangunan,jenis_bangunan,id_sebab,sebab_kejadian,keterangan_sebab_kejadian,waktu_respon,menit_respon,jumlah_unit,jumlah_sdm,lama_operasi_hari,lama_operasi_jam,lama_operasi_menit,luas_area_kejadian,petugas_mati,petugas_luka,masyarakat_mati,masyarakat_luka,objek_bp,objek_bup,objek_bi,objek_kd,objek_ln,jumlah_kk,jumlah_jiwa,taksiran_kerugian,kronologis_kejadian,keterangan
566,3/1/2013,Bencana Kebakaran,Masyarakat,23:30,Jl. PAL Meriam,2,8,Pal Meriam,Matraman,Jakarta Timur,Pasar,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,23:34,4,6,30,0,0,20,6,0,0,0,0,-,1,-,-,-,0,0,10000000,"Diduga konsleting kabel power pada freezer sehingga terbakar, merambat dan membesar",
567,3/2/2013,Bencana Kebakaran,Masyarakat,0:30,Jl. Bambu Kuning IX,11,3,Cengkareng Barat,Cengkareng,Jakarta Barat,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,0:35,5,19,95,0,1,5,200,0,0,0,0,1,-,-,-,-,2,16,160000000,Diduga konsleting pada mesin open pembuat mie sehingga api menjalar dengan cepat dan membesar,
568,3/2/2013,Bencana Kebakaran,Masyarakat,16:00,Jl. Komplek Dirgantara,4,3,Halim Perdana Kusuma,Makasar,Jakarta Timur,Rumah Tinggal,BP,Bangunan Perumahan,Rumah Tinggal,BP,Bangunan Perumahan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,16:05,5,17,85,0,1,5,490,0,0,0,0,5,-,-,-,-,5,20,750000000,"Hubungan singkat pada kabel AC, api membesar menyambar plafon sehingga trejadi kebakaran",
569,3/3/2013,Bencana Kebakaran,Masyarakat,18:40,Jl. Yos Sudarso,,,Sungai Bambu,Tanjung Priok,Jakarta Utara,Mobil,KD,Kendaraan,,,,,,LS,Listrik,Arus Pendek Listrik,18:45,5,3,12,0,0,20,1.5,0,0,0,0,-,-,-,1,-,0,0,20000000,"Diduga disebabka konsluiting listrik pada mesin mobil, sehingga membakar segaian mobil.",
570,3/3/2013,Bencana Kebakaran,Masyarakat,22:35,Jl. Pahat No. 39/ 40,6,2,Jatinegara,Cakung,Jakarta Timur,Kabel udara PLN,LN,Lain-Lain,,,,,,LS,Listrik,Arus Pendek Listrik,22:38,3,1,5,0,0,15,2,0,0,0,0,-,-,-,-,1,0,0,500000,"Diduga akibat korsluiting pada kabel layang PLN, kemudian percikan api membesar dan membakar kabel listrik.",
571,3/3/2013,Bencana Kebakaran,Petugas Instansi Lain,18:45,"Jl. Mangga Besar IX, No. 32",5,1,Tangki,Tamansari,Jakarta Barat,Ruko 5 Lantai,BU,Bangunan Umum dan Perdagangan,,,,BM,Bangunan Menengah,LS,Listrik,Arus Pendek Listrik,18:50,5,20,100,0,1,15,24,0,0,0,0,-,1,-,-,-,0,0,50000000,"Diduga akibat arus pendek yang terjadi pada mesin sablon, kemudian percikan api menyambar tumpukan kain di lantai. Kemudian api membesar.",2 Ruko di lantai 5 (mess karyawan)
572,3/4/2013,Bencana Kebakaran,Masyarakat,9:30,Jl. Cioutat Raya,,,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,AC oyt door Gedung Pesona,LN,Lain-Lain,,,,,,LS,Listrik,Arus Pendek Listrik,9:32,2,7,35,0,0,10,,0,0,0,0,-,-,-,-,1,0,0,5000000,"Diduga dari konsleting pada AC, sehingga menimbulkan percikan api dan membakar AC serta sebagian ruangan gedung.",
573,3/4/2013,Bencana Kebakaran,Masyarakat,14:30,Jl. Tanah Tinggi I,13-14,1,Tanah Tinggi,Johar Baru,Jakarta Pusat,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LN,Lain,Korek Api,14:40,10,27,135,0,3,30,"3,200",0,0,0,0,55,-,-,-,-,100,500,1300000000,Diduga dari anak - anak bermain korek api dibelakang rumah mengenai bahan yang mudah terbakar dan membesar,
574,3/4/2013,Bencana Kebakaran,Masyarakat,14:55,Jl. Panarukan No. 39,2,5,Menteng,Menteng,Jakarta Pusat,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LN,Lain,Arus Pendek Listrik,15:00,5,3,12,0,0,20,12,0,0,0,0,1,-,-,-,-,1,4,5000000,Diduga konsleting listrik pada kipas angin yang menempel pada dinding internit dan menimbulkan percikan api lalu membesar.,
575,3/4/2013,Bencana pada Air (operasi penyelamatan pada Air),Petugas Instansi Lain,15:10,Kali Krukut Kp. Alang - alang,9,2,Cipedak,Jagakarsa,Jakarta Selatan,Evakuasi Korban Tenggelam,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Tenggelam,15:15,5,1,6,0,0,15,,0,0,0,0,-,-,-,-,1,0,0,NA,Diduga terbawa arus air dari kali krukut tercebur dari desa krukut KOTA DEPOK,korban ibu ROHIMA (68 thn)
576,3/5/2013,Bencana Kebakaran,Masyarakat,0:30,Jl. Cipinang Muara,18,4,Klender,Duren Sawit,Jakarta Timur,Konsleting Listrik,LN,Lain-Lain,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,0:35,5,1,5,0,0,15,5,0,0,0,0,-,-,-,-,1,0,0,500000,Hubungan singkat pada sambungan kabel di tiang timbul api sehingga api membesar menbakar 5 meter kabel listrik,
577,3/6/2013,Bencana Kebakaran,Masyarakat,11:25,"Jl. Pinang II, No. 31",4,2,Pondok Labu,Cilandak,Jakarta Selatan,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,KP,Kompor,Lupa Mematikan Kompor/Alat Masak,11:35,10,15,75,0,0,50,42,0,0,0,0,1,-,-,-,-,2,6,84000000,"Diduga akibat kompor yang lupa dimatikan pada saat memasak, kemudian api menyambar bahan yang mudah terbakar dan membesar.",
