nama_pos_pemadam,kotamadya,alamat,keterangan,jumlah
"Pos Johar Baru","Jakarta Pusat","JL. Johar Baru Utara Kel. Johar Baru","Personil - Group B","8"
"Sektor Kemayoran","Jakarta Pusat","Jl. Angkasa Pura Kel. Kemayoran","Personil - Group B","20"
"Pos Serdang","Jakarta Pusat","Jl. Lap Pors","Personil - Group B","5"
"Sektor  Mangga Dua Selatan","Jakarta Pusat","Jl. Mangga Dua Dalam Kel. Mangga Dua Selatan","Personil - Group B","13"
"Pos Pasar Baru","Jakarta Pusat","Jl. Lautze","Personil - Group B","6"
"Kantor Sudin Jakarta Utara","Jakarta Utara","JL. Pemadam Kebakaran No. 113, Kel. Semper Barat, Kec. Cilincing","Personil - Group B","32"
"Pos Kali Baru","Jakarta Utara","JL.Kosambi Kalibaru Kec. Cilincing","Personil - Group B","5"
"Pos Rorotan","Jakarta Utara","Jl. Pinus Raya","Personil - Group B","3"
"Pos Gading Griya","Jakarta Utara","Jl. Blimbing","Personil - Group B","3"
"Sektor 2 ( Koja)","Jakarta Utara","JL. Anggrrek No. 1, Kel. Rawa Badak, Kec. Koja","Personil - Group B","24"
"Pos Gaya Motor","Jakarta Utara","JL. Gaya Motor Kel. Sunter, Kec. Tanjung Priok","Personil - Group B","6"
"Pos Podomoro","Jakarta Utara","JL. Agung Podomoro Kel. Sunter, Kec. Tanjung Priok","Personil - Group B","7"
"Pos Kelapa Gading","Jakarta Utara","JL. Pelepah Indah LC 3, Kel. Kelapa  Gading Barat, Kec. Kelapa Gading","Personil - Group B","5"
"Sektor  IV (Kelapa Gading)","Jakarta Utara","Jl. Komp. HI, Kel. Kelapa Gading Timur, Kec. Kelapa Gading","Personil - Group B","10"
"Pos Pegangsaan Dua","Jakarta Utara","JL. Pegangsaan Dua,  Kel. Pegangsaan Dua, Kec. Kelapa Gading","Personil - Group B","4"
"Pos Pademangan Barat","Jakarta Utara","JL. Budi Mulya, Kel. Pademangan Barat, Kec. Pademangan","Personil - Group B","4"
"Pos Pademangan Timur","Jakarta Utara","Jl. Pademangan IX","Personil - Group B","4"
"Sektor  Ancol","Jakarta Utara","Jl. Ancol Barat","Personil - Group B","8"
"Pos Binaria","Jakarta Utara","JL. Lodan Timur V, Kel. Ancol, Kec. Pademangan","Personil - Group B","4"
"Pos Pluit","Jakarta Utara","JL. Pluit Barat Terusan, Kel. Pluit, Kec. Penjaringann","Personil - Group B","8"
"Pos Muara Angke","Jakarta Utara","JL. Dermaga Pelabuhan, Kel. Pluit, Kec. Penjaringan","Personil - Group B","6"
"Pos Teluk Gong","Jakarta Utara","JL. Taman Permata Indah, Kel. Pejagalan, Kec. Penjaringan","Personil - Group B","6"
